latitude,longitude,altitude,geometry,gestore,comune_ok,indirizzo,id
40.463138888,16.901777777,,Point,Vodafone Italia S.p.A.,Castellaneta,Castellaneta ---- Contrada Orsanese Perronello snc,3729
40.463138888,16.901777777,,Point,Wind Tre s.p.a.,Castellaneta,Castellaneta ---- Contrada Orsanese Perronello snc,3730
40.0957,18.439969444,,Point,Linkem S.p.A.,Uggiano la Chiesa,Uggiano la Chiesa ---- Via Molise snc,3731
40.257611111,18.283805555,,Point,Wind Tre s.p.a.,Calimera,Calimera ---- Strada Provinciale 137 snc,3732
39.845430555,18.372625,,Point,Telecom Italia S.p.A.,Gagliano del Capo,Gagliano del Capo ---- Piazzetta del Gesù snc,3733
40.620919444,17.950947222,,Point,Telecom Italia S.p.A.,Brindisi,Brindisi ---- Via Provinciale per lecce 104,3734
40.409555555,17.387972222,,Point,Iliad Italia s.p.a,Faggiano,Faggiano ---- Strada Comunale Viottolo Cavallo snc,3735
41.088663888,16.976502777,,Point,Wind Tre s.p.a.,Bari,Bari ---- Località San Giorgio - S.S. 16 Complanare Ovest n.d.,3736
41.908583333,16.114416666,,Point,Iliad Italia s.p.a,Vieste,Vieste ---- Località Monticello snc,3737
40.080111111,18.30725,,Point,Iliad Italia s.p.a,Scorrano,Scorrano ---- Contrada Rubelle SS 275 snc,3738
40.354666666,18.169083333,,Point,Iliad Italia s.p.a,Lecce,Lecce ---- Via Coniger 14,3739
41.121544444,16.85015,,Point,Telecom Italia S.p.A.,Bari,Bari ---- Via Crispi 197,3740
41.121836111,16.851758333,,Point,Wind Tre s.p.a.,Bari,Bari ---- Via Brigata Bari 160,3741
41.28475,16.000555555,,Point,Wind Tre s.p.a.,San Ferdinando di Puglia,San Ferdinando di Puglia ---- Strada Provinciale SP 65 snc,3742
40.596277777,17.125166666,,Point,Iliad Italia s.p.a,Massafra,Massafra ---- Strada Provinciale n.42 snc,3743
40.376805555,17.354416666,,Point,Iliad Italia s.p.a,Pulsano,Pulsano ---- Via Basento 19,3744
40.695277777,17.661388888,,Point,Telecom Italia S.p.A.,Carovigno,Carovigno ---- Via Pagliarulo s.n.,3745
40.695277777,17.661388888,,Point,Vodafone Italia S.p.A.,Carovigno,Carovigno ---- Via Pagliarulo s.n.,3746
41.237777777,16.294138888,,Point,Vodafone Italia S.p.A.,Andria,Andria ---- Via Barletta 156,3747
41.237777777,16.294138888,,Point,Telecom Italia S.p.A.,Andria,Andria ---- Via Barletta 156,3748
40.398666666,17.567555555,,Point,Iliad Italia s.p.a,Sava,Sava ---- Via Giacomo Matteotti c/o Contrada Lamia snc,3749
41.057222222,16.699,,Point,Wind Tre s.p.a.,Palo del Colle,Palo del Colle ---- Via Donizetti 2,3750
39.863572222,18.163636111,,Point,Iliad Italia s.p.a,Ugento,Ugento ---- Località Torre Mozza snc,3751
39.863572222,18.163636111,,Point,Telecom Italia S.p.A.,Ugento,Ugento ---- Località Torre Mozza snc,3752
40.468611111,17.740555555,,Point,Telecom Italia S.p.A.,Torre Santa Susanna,Torre Santa Susanna ---- Via Dante Alighieri 2/A,3753
40.3755,17.666872222,,Point,Telecom Italia S.p.A.,Manduria,Manduria ---- Strada Provinciale Manduria - Avetrana Km. 3 c/o Masseria Li Reni snc (SMART CELL),3754
40.3755,17.666872222,,Point,Vodafone Italia S.p.A.,Manduria,Manduria ---- Strada Provinciale Manduria - Avetrana Km. 3 c/o Masseria Li Reni snc (SMART CELL),3755
40.485822222,18.056933333,,Point,Telecom Italia S.p.A.,Torchiarolo,Torchiarolo ---- Via Verdi 24,3756
40.354922222,18.165436111,,Point,Telecom Italia S.p.A.,Lecce,Lecce ---- Via Reale Egidio 41,3757
40.310611111,17.495383333,,Point,Hightel Towers,Torricella,Torricella ---- Via dei Girasoli c/o Hotel Costa D'Oro (Hightel) snc,3758
40.310611111,17.495383333,,Point,Vodafone Italia S.p.A.,Torricella,Torricella ---- Via dei Girasoli c/o Hotel Costa D'Oro (Hightel) snc,3759
40.399333333,17.441333333,,Point,Iliad Italia s.p.a,Lizzano,Lizzano ---- Località San Pasquale (Iliad) snc,3760
40.720166666,16.95875,,Point,Iliad Italia s.p.a,Mottola,Mottola ---- Contrada Terzi 42,3761
40.250908333,18.217216666,,Point,Iliad Italia s.p.a,San Donato di Lecce,San Donato di Lecce ---- Località Campo sportivo Galugnano snc,3762
40.67425,17.624491666,,Point,Telecom Italia S.p.A.,Ostuni,Ostuni ---- Strada Provinciale 29 s.n.,3763
40.056333333,17.993333333,,Point,Wind Tre s.p.a.,Gallipoli,Gallipoli ---- Via Lecce 91,3764
40.056333333,17.993333333,,Point,Iliad Italia s.p.a,Gallipoli,Gallipoli ---- Via Lecce 91,3765
41.121338888,16.866972222,,Point,Vodafone Italia S.p.A.,Bari,Bari ---- Via Nicolai 47,3766
41.121338888,16.866972222,,Point,Telecom Italia S.p.A.,Bari,Bari ---- Via Nicolai 47,3767
41.086991666,16.837775,,Point,Iliad Italia s.p.a,Bari,Bari ---- Località c/o Parcheggio Stadio San Nicola snc,3768
40.471972222,17.237527777,,Point,Telecom Italia S.p.A.,Taranto,Taranto ---- Via D'Aquino 40,3769
40.471972222,17.237527777,,Point,Wind Tre s.p.a.,Taranto,Taranto ---- Via D'Aquino 40,3770
39.825233333,18.360469444,,Point,Telecom Italia S.p.A.,Castrignano del Capo,Castrignano del Capo ---- Località Le Murge snc,3771
40.136380555,18.133961111,,Point,Iliad Italia s.p.a,Aradeo,Aradeo ---- Località Depuratore Comunale snc,3772
40.064488888,18.098202777,,Point,Vodafone Italia S.p.A.,Tuglie,Tuglie ---- Via Circonvalazione snc,3773
40.064488888,18.098202777,,Point,Telecom Italia S.p.A.,Tuglie,Tuglie ---- Via Circonvalazione snc,3774
40.388255555,18.127966666,,Point,Telecom Italia S.p.A.,Surbo,Surbo ---- Via Borsellino tra. Via Appia Antica snc,3775
40.357355555,18.176236111,,Point,Telecom Italia S.p.A.,Lecce,Lecce ---- Via Duca D'Aosta 30,3776
40.35015,18.177602777,,Point,Telecom Italia S.p.A.,Lecce,Lecce ---- Via Orsini del Balzo 24,3777
40.362888888,17.350333333,,Point,Iliad Italia s.p.a,Pulsano,"Pulsano ---- Viale dei Carpentieri, Loc. Monte D'Arena - Bosco Caggione snc",3778
41.229613888,16.515522222,,Point,Wind Tre s.p.a.,Bisceglie,Bisceglie ---- Via Porcelli snc,3779
41.122433333,16.852577777,,Point,Iliad Italia s.p.a,Bari,Bari ---- Via F. Crispi 145/D,3780
41.542413888,15.128083333,,Point,Dimensione srl,Pietramontecorvino,Pietramontecorvino ---- Corso Aldo Moro 47,3781
40.137536111,18.483522222,,Point,Vodafone Italia S.p.A.,Otranto,Otranto ---- Località San Giuseppe snc,3782
40.380611111,17.316638888,,Point,Iliad Italia s.p.a,Leporano,Leporano ---- Strada Comunale Saturo snc,3783
40.288819444,18.154375,,Point,Telecom Italia S.p.A.,San Cesario di Lecce,San Cesario di Lecce ---- Via Provenzano - Vicinale Turrisio snc,3784
41.226855833,16.285606944,,Point,Iliad Italia s.p.a,Andria,Andria ---- Via Vesuvio 79-81,3785
40.530222222,17.584,,Point,Wind Tre s.p.a.,Francavilla Fontana,Francavilla Fontana ---- Via Semeraro 17/B,3786
40.016108333,18.167633333,,Point,Vodafone Italia S.p.A.,Casarano,Casarano ---- Via Friuli ang. Via Lucania snc,3787
40.016108333,18.167633333,,Point,Telecom Italia S.p.A.,Casarano,Casarano ---- Via Friuli ang. Via Lucania snc,3788
40.358894444,18.160527777,,Point,Telecom Italia S.p.A.,Lecce,Lecce ---- Via Taranto snc,3789
40.358894444,18.160527777,,Point,Telecom Italia S.p.A.,Lecce,Lecce ---- Via Taranto snc,3790
40.326097222,18.186347222,,Point,Telecom Italia S.p.A.,Lecce,Lecce ---- Contrada la Pochiera snc,3791
41.434333333,15.637916666,,Point,Iliad Italia s.p.a,Foggia,Foggia ---- Via Strada F. Turati - 1 snc,3792
41.114666666,16.798916666,,Point,Wind Tre s.p.a.,Bari,Bari ---- Via Maestri del lavoro WINDTRE 4,3793
40.119144444,18.056183333,,Point,Iliad Italia s.p.a,Galatone,Galatone ---- Contrada Bascetta snc,3794
40.033616666,18.179638888,,Point,Vodafone Italia S.p.A.,Casarano,Casarano ---- Località Zona Industriale Lotto 7 Tronco A snc,3795
